ARI,beta,14.752622,8.063457,6.389157,17.98556426,1,
ARI,alpha,15.731986,9.751722,8.03361,20.17747147,1,
ARI,41,33.287607,30.498162,23.26243,50.78723575,1,
ARI,,,,,,,
LEO,beta,-10.633926,0.508011,2.767546,10.99989855,1,
LEO,delta,-16.442201,3.337108,6.280742,17.91451879,1,
LEO,60,-35.330409,9.082879,13.407184,38.86501092,1,
LEO,gamma,-34.002797,15.860719,13.53874,39.88796926,1,
LEO,zeta,-69.409312,33.594777,33.397009,84.0334567,1,
LEO,mu,-29.062466,18.02588,16.685015,38.05192512,1,
LEO,kappa,-43.149317,34.738124,27.236473,61.72865038,1,
LEO,lambda,-74.131964,56.004334,39.376137,100.9084421,2,
LEO,epsilon,-57.700126,38.244772,30.494289,75.64303529,1,
LEO,eta,-328.449984,175.868859,112.220999,389.1051274,3,
LEO,theta,-47.814213,9.675761,13.464276,50.60737144,1,
LEO,delta,-16.442201,3.337108,6.280742,17.91451879,1,
LEO,,,,,,,
LEO,epsilon,-57.700126,38.244772,30.494289,75.64303529,1,
LEO,mu,-29.062466,18.02588,16.685015,38.05192512,1,
LEO,,,,,,,
LEO,omicron,,,,,,
LEO,eta,-328.449984,175.868859,112.220999,389.1051274,3,
LEO,alpha,-21.018857,11.132218,5.041397,24.31325381,1,
LEO,31,-78.745563,41.911852,15.725184,90.58006647,1,
LEO,,,,,,,
LEO,rho,-91628.21995,36643.48097,16171.72491,100000.0004,4,
LEO,theta,-47.814213,9.675761,13.464276,50.60737144,1,
LEO,iota,-22.987695,3.648687,4.326252,23.67411022,1,
LEO,sigma,-66.140622,11.324464,7.087542,67.47635597,1,
LEO,,,,,,,
LMI,beta,-34.818822,14.800637,28.20798,47.19215355,1,
LMI,46,-23.041794,6.900625,16.355475,29.08684339,1,
LMI,21,-20.337129,10.878482,16.2967,28.24044294,1,
LMI,beta,-34.818822,14.800637,28.20798,47.19215355,1,
LMI,,,,,,,
LYN,alpha,-39.512346,32.846027,35.17204,62.26684008,1,
LYN,38,-23.374361,19.815176,22.926164,38.2702358,1,
LYN,31,-49.889521,69.406143,80.234157,117.2335146,2,
LYN,21,-20.244731,50.928261,63.517493,83.89284128,1,
LYN,15,-7.080952,27.740855,46.57936,54.67478116,1,
LYN,2,-2.113811,24.62735,41.155331,48.00766433,1,
LYN,,,,,,,
VIR,nu,-89.335882,5.519063,10.244433,90.09055598,1,
VIR,beta,-10.914853,0.443379,0.336562,10.92903815,1,
VIR,eta,-81.054806,-7.05786,-0.946921,81.36701803,1,
VIR,gamma,-11.488622,-2.111702,-0.295552,11.68482228,1,
VIR,delta,-58.94191,-14.587593,3.604756,60.82713942,1,
VIR,epsilon,-31.782664,-8.840495,6.38806,33.60207424,1,
VIR,,,,,,,
VIR,gamma,-11.488622,-2.111702,-0.295552,11.68482228,1,
VIR,theta,-91.90017,-28.953908,-9.343987,96.80537241,1,
VIR,alpha,-69.990853,-27.285826,-14.82176,76.56970924,1,
VIR,iota,-18.333625,-12.367873,-2.324624,22.23713032,1,
VIR,mu,-13.771311,-11.872446,-1.801463,18.27154207,1,
VIR,,,,,,,
VIR,theta,-91.90017,-28.953908,-9.343987,96.80537241,1,
VIR,zeta,-20.799365,-9.118725,-0.236175,22.71168221,1,
VIR,tau,-59.454971,-34.898261,1.858889,68.9654817,1,
VIR,109,-30.838211,-27.343068,1.362104,41.23704588,1,
VIR,,,,,,,
VEL,mu,-22.183186,7.339648,-27.280949,35.9195539,1,
VEL,psi,-11.382585,8.679058,-12.210922,18.8147789,1,
VEL,lambda,-88.662596,82.682121,-114.774841,166.9450604,2,
VEL,gamma,-124.300149,195.993257,-251.831601,342.4661138,3,
VEL,delta,-9.394033,10.739813,-20.158771,24.69751987,1,
VEL,kappa,-77.65777,63.951481,-143.729782,175.4387967,2,
VEL,phi,-242.953038,144.739494,-397.464518,487.8050255,3,
VEL,mu,-22.183186,7.339648,-27.280949,35.9195539,1,
VEL,,,,,,,
CEN,alpha,-0.495203,-0.414084,-1.156625,1.324565197,1,
CEN,beta,-50.954051,-30.56287,-104.478695,120.1923544,2,
CEN,epsilon,-70.726493,-32.9381,-105.309044,131.0616267,2,
CEN,zeta,-69.545858,-38.36753,-86.039492,117.0960627,2,
CEN,upsilon^1,-80.799834,-46.030955,-92.356336,131.061645,2,
CEN,mu,-101.522043,-52.633292,-104.690333,155.0388805,2,
CEN,nu,-88.774682,-45.96956,-89.0322,133.8688808,2,
CEN,theta,-12.358808,-7.624204,-10.694288,18.03431223,1,
CEN,,,,,,,
CEN,kappa,-61.87283,-61.421692,-78.787457,117.5088708,2,
CEN,eta,-54.086167,-43.605833,-62.903,93.72069964,1,
CEN,mu,-101.522043,-52.633292,-104.690333,155.0388805,2,
CEN,iota,-13.562569,-4.976416,-10.773082,18.021301,1,
CEN,,,,,,,
CEN,zeta,-69.545858,-38.36753,-86.039492,117.0960627,2,
CEN,gamma,-25.771821,-4.720403,-30.097707,39.90414676,1,
CEN,sigma,-80.166328,-9.857284,-97.048731,126.2626722,2,
CEN,delta,-80.490795,-2.936809,-98.48459,127.2265986,2,
CEN,pi,-62.768014,10.783606,-89.257117,109.64918,2,
CEN,lambda,-58.063196,6.158685,-114.692848,128.7000913,2,
CEN,,,,,,,
CRT,theta,-84.291063,8.605864,-14.638702,85.98450903,1,
CRT,epsilon,-111.927049,17.422325,-21.729917,115.3403269,2,
CRT,delta,-54.199405,9.717642,-14.52639,56.94755548,1,
CRT,alpha,-44.746057,12.036889,-15.32333,48.80472063,1,
CRT,beta,-93.979241,20.122462,-40.451687,104.2753576,2,
CRT,gamma,-23.765377,3.670362,-7.667025,25.2398093,1,
CRT,zeta,-102.494591,6.824337,-34.072715,108.2250556,2,
CRT,eta,-73.661453,1.280657,-22.736208,77.1011342,1,
CRT,,,,,,,
CRT,gamma,-23.765377,3.670362,-7.667025,25.2398093,1,
CRT,delta,-54.199405,9.717642,-14.52639,56.94755548,1,
ANT,,,,,,,
ANT,iota,-44.696342,12.665166,-35.182633,58.27509831,1,
ANT,alpha,-88.352579,37.890013,-57.918293,112.2335064,2,
ANT,theta,-76.378087,51.419982,-48.482449,104.0585152,2,
ANT,epsilon,-139.565679,107.824531,-127.90814,217.8650971,2,
ANT,alpha,-88.352579,37.890013,-57.918293,112.2335064,2,
ANT,,,,,,,
HYA,pi,-23.563202,-14.492156,-13.902421,30.96004496,1,
HYA,gamma,-35.509172,-12.735386,-16.146279,41.0340551,1,
HYA,beta,-78.778366,2.438319,-52.978439,94.96679076,1,
